laptop_brand,processor_brand,processor_number,number_of_cores,ram_generation,ram_amount,storage_type,storage_amount,screen_size,price,condition,url,laptop_id
Asus,intel,i7,4,ddr4,16gb,hdd,256gb,17.3`,264990,new,https://www.kupindo.com/showcontent/2143/Laptopovi/48707351_ASUS-NOVO-NEKORISCENO-br-2-Akcija,48707351
Asus,intel,i7,2,ddr4,16gb,ssd,256gb,17.3`,249990,new,https://www.kupindo.com/showcontent/2143/Laptopovi/48705427_ASUS-NOVO-NEKORISCENO-Akcija,48705427
Hewlett Packard,intel,i7,4,ddr4,8 gb,ssd,256 gb,15.6`,189990,new,https://www.kupindo.com/showcontent/2143/Laptopovi/48815537_HP-Laptop-Omen-15-NOVO-NEKORISCENO-Akcija,48815537
Hewlett Packard,intel,i7,4,ddr4,8 gb,ssd,256 gb,17.3`,184990,new,https://www.kupindo.com/showcontent/2135/Laptopovi/48813673_HP-Laptop-Omen-17-NOVO-NEKORISCENO-Akcija,48813673
Hewlett Packard,intel,i7,2,ddr3,8gb,hdd,128gb,13.3`,159990,new,https://www.kupindo.com/showcontent/2135/Laptopovi/48774057_HP-notebook-13-NOVO-NEKORISCENO-Akcija,48774057
Hewlett Packard,intel,i5,4,ddr4,8gb,ssd,256gb,17.3`,149990,new,https://www.kupindo.com/showcontent/2139/Laptopovi/48819125_HP-Laptop-Omen-17-NOVO-NEKORISCENO-Akcija,48819125
Hewlett Packard,intel,i7,2,ddr4,16 gb,hdd,1TB,16``,146800,new,https://www.kupindo.com/showcontent/2139/Laptopovi/54152203_HP-ProBook-450-G5-2UB57EAR-i7-8550U-16GB-SSD512GB-1-TB-,54152203
Hewlett Packard,intel,i7,2,ddr4,16 gb,hdd,1TB,16``,146800,new,https://www.kupindo.com/showcontent/2139/Laptopovi/54152323_HP-ProBook-470-G5-2XZ77ESR-i7-8550U-16GB-SSD256GB-1-TB-,54152323
Hewlett Packard,intel,i5,2,ddr4,16gb,ssd,256gb,17.3`,122990,new,https://www.kupindo.com/Laptopovi/48814321_HP-Laptop-17-NOVO-NEKORISCENO-Akcija,48814321
Hewlett Packard,intel,i5,2,ddr4,8gb,hdd,256gb,15.6`,101990,new,https://www.kupindo.com/Laptopovi/48814889_HP-Laptop-250-NOVO-NEKORISCENO-Akcija,48814889
Hewlett Packard,intel,i5,2,ddr4,8gb,ssd,256 gb,15.6`,96990,new,https://www.kupindo.com/Laptopovi/48814789_HP-Laptop-15-NOVO-NEKORISCENO-Akcija,48814789
HP,intel,i5,2,ddr4,8 gb,hdd,1TB,15``,94000,new,https://www.kupindo.com/Laptopovi/53429017_HP-Pavilion-Gaming-15-Novo,53429017
Dell,intel,i5,2,ddr4,4gb,ssd,256gb,15.6`,91990,new,https://www.kupindo.com/Laptopovi/48699879_DELL-Inspiron-15-NOVO-NEKORISCENO-Akcija,48699879
Acer,intel,i7,2,ddr4,8gb,ssd,250gb,17.3,88500,used,https://www.kupindo.com/Laptopovi/50261069_Acer-Aspire-V-Nitro-Black-Edition-i7-6700HQ-8GB-GTX960,50261069
Hewlett Packard,intel,i5,2,ddr4,4gb,hdd,256gb,15.6`,87990,new,https://www.kupindo.com/Laptopovi/48814601_HP-Laptop-250-NOVO-NEKORISCENO-Akcija,48814601
Hewlett Packard,intel,i5,2,ddr4,8 gb,ssd,256 gb,15.6`,87990,new,https://www.kupindo.com/Laptopovi/48815445_HP-Laptop-250-NOVO-NEKORISCENO-Akcija,48815445
Hewlett Packard,intel,i7,2,ddr4,16gb,ssd,256 gb,15.6`,80500,used,https://www.kupindo.com/Laptopovi/46556349_HP-EliteBook-i7-16gb-DDR4-256-GB-SSD-Akcija,46556349
Lenovo,intel,i5,2,ddr4,8gb,ssd,256gb,15.6`,78990,new,https://www.kupindo.com/Laptopovi/48692583_LENOVO-laptop-NOVO-NEKORISCENO-Akcija,48692583
Hewlett Packard,intel,i5,2,ddr4,8gb,hdd,256gb,15.6`,78990,new,https://www.kupindo.com/Laptopovi/48815105_HP-Laptop-250-NOVO-NEKORISCENO-Akcija,48815105
Toshiba,intel,i7,2,,16 gb,hdd,1TB,15``,78600,used,https://www.kupindo.com/Laptopovi/50917069_TOSHIBA-15-6-4K-Touchscreen-i7-5500U-16GB-480SSD-69,50917069
Hewlett Packard,intel,i5,2,ddr4,4gb,hdd,500gb,15.6`,77990,new,https://www.kupindo.com/Laptopovi/48812729_HP-Laptop-250-NOVO-NEKORISCENO-Akcija,48812729
Dell,intel,i7,4,ddr3,16gb,ssd,256gb,17``,77000,used,https://www.kupindo.com/Laptopovi/54056701_DeLL-M6700-i7-3740-16gb-ddr3-256gb-ssd-500gb-Quadro-2gb,54056701
Hewlett Packard,intel,i7,2,ddr4,8gb,ssd,256gb, 14``,76950,used,https://www.kupindo.com/Laptopovi/46243097_HP-EliteBook-i7-8gb-256-GB-SSD-Akcija,46243097
Lenovo,intel,i5,2,ddr4,8 gb,hdd,1TB,15.6`,75990,new,https://www.kupindo.com/Laptopovi/48689315_LENOVO-320-NOVO-NEKORISCENO-Akcija,48689315
CLEVO,intel,i7,2,ddr3,16 gb,ssd,128gb,15``,75000,used,https://www.kupindo.com/Laptopovi/52742321_CLEVO-i7-6700HQ-16gb-DDr3-128-ssd-500Gb-GTX960M-Full-HD,52742321
Hewlett Packard,intel,i5,2,ddr4,4gb,hdd,128gb,15.6`,74990,new,https://www.kupindo.com/Laptopovi/48772897_HP-laptop-250-NOVO-NEKORISCENO-Akcija,48772897
Hewlett Packard,intel,i7,2,ddr4,8gb,ssd,128 gb,"15,6`",74500,used,https://www.kupindo.com/Laptopovi/46556829_HP-EliteBook-i7-8gb-DDR4-128-GB-SSD-Akcija,46556829
Lenovo,intel,i5,2,ddr4,8gb,ssd,120gb, 12``,74000,used,https://www.kupindo.com/Laptopovi/47265745_VRHUNSKI-Lenovo-ThinkPad-X270-i5-7-Generacija-,47265745
Lenovo,intel,i5,2,,4 gb,hdd,500 gb,"15,6`",73990,new,https://www.kupindo.com/Laptopovi/48692207_LENOVO-V310-NOVO-NEKORISCENO-Akcija,48692207
